固相見かけ流速,気相見かけ流速,液相見かけ流速,固相体積率,気相体積率,液相体積率,ガラス球直径,NAME,FullPath,mean,var
0.222695176,46.96133683,6.235992628,0.007275211,0.739067484,0.253657305,0.005,P20240820-1133,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240820-1133_processed.npz,,
0.215188597,54.13475664,6.038632837,0.008892682,0.801800389,0.189306929,0.005,P20240820-1414,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240820-1414_processed.npz,,
0.130114035,61.02480793,4.71876807,0.00410169,0.839985635,0.155912675,0.005,P20240821-1002,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240821-1002_processed.npz,,
0.158889255,63.38901148,4.48969157,0.002825457,0.85998743,0.137187113,0.005,P20240821-1018,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240821-1018_processed.npz,,
0.162642544,63.56923071,4.430135422,0.003460161,0.839985635,0.156554204,0.005,P20240821-1029,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240821-1029_processed.npz,,
0.166395834,63.41248649,4.477083707,0.004149463,0.833621427,0.16222911,0.005,P20240821-1039,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240821-1039_processed.npz,,
0.0,62.44940716,4.507136515,0.0,0.880079009,0.119920991,-,P20240821-1605,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240821-1605_processed.npz,,
0.0,64.17204347,4.503330399,0.0,0.866441421,0.133558579,-,P20240821-1616,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240821-1616_processed.npz,,
0.0,63.24243097,4.504155959,0.0,0.875533146,0.124466854,-,P20240821-1626,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240821-1626_processed.npz,,
0.201426535,63.60025763,3.216748835,0.004251835,0.901809367,0.093938798,0.005,P20240822-1621,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240822-1621_processed.npz,,
0.223946272,44.62360318,5.988847971,0.0053165,0.821802184,0.172881316,0.005,P20240822-1354,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240822-1354_processed.npz,,
0.19266886,63.09260404,3.282588983,0.003876472,0.901809367,0.094314161,0.005,P20240822-1609,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240822-1609_processed.npz,,
0.210184211,44.51753647,6.004416358,0.008558268,0.8345306,0.156911132,0.005,P20240822-1415,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240822-1415_processed.npz,,
0.226448465,44.87962623,5.932403687,0.007650573,0.829984737,0.16236469,0.005,P20240822-1405,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240822-1405_processed.npz,,
0.218941886,62.94352905,3.248107184,0.005862482,0.916356127,0.077781391,0.005,P20240822-1543,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240822-1543_processed.npz,,
0.196422149,63.46147125,3.26378705,0.006394815,0.877261708,0.116343477,0.005,P20240822-1554,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240822-1554_processed.npz,,
0.166395834,58.29983463,4.414934942,0.002422795,0.916356127,0.081221077,0.005,P20240822-1044,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240822-1044_processed.npz,,
0.161391448,59.38355589,4.446014767,0.002982427,0.905446057,0.091571516,0.005,P20240822-1113,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240822-1113_processed.npz,,
0.19266886,62.46679963,3.30772191,0.004504352,0.909082747,0.086412901,0.005,P20240822-1528,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240822-1528_processed.npz,,
0.152633772,59.10393321,4.433421829,0.00288688,0.893626814,0.103486306,0.005,P20240822-1124,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240822-1124_processed.npz,,
0.202677632,63.29472667,3.270080201,0.003992494,0.911810265,0.084197242,0.005,P20240822-1443,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240822-1443_processed.npz,,
0.151382676,59.8228922,4.414699286,0.004210886,0.890899296,0.104889817,0.005,P20240822-1100,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240822-1100_processed.npz,,
0.177655702,59.98932485,4.578339387,0.003378264,0.866351638,0.130270098,0.0025,P20240826-1350,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240826-1350_processed.npz,,
0.253972588,65.87572281,3.176599116,0.011431499,0.889080951,0.09948755,0.0025,P20240826-1026,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240826-1026_processed.npz,,
0.349055921,64.24489052,2.931876349,0.006442588,0.893626814,0.099930598,0.0025,P20240826-1044,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240826-1044_processed.npz,,
0.357813597,64.20130201,2.91619264,0.0076028,0.870897501,0.121499699,0.0025,P20240826-1055,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240826-1055_processed.npz,,
0.31402522,64.11447965,3.013397049,0.010598876,0.887262606,0.102138518,0.0025,P20240826-1106,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240826-1106_processed.npz,,
0.140122807,60.40170834,4.66296503,0.003221294,0.861805775,0.134972931,0.0025,P20240826-1328,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240826-1328_processed.npz,,
0.168898027,60.3113686,4.609687497,0.005937555,0.868169983,0.125892462,0.0025,P20240826-1339,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240826-1339_processed.npz,,
0.166395834,59.83490876,4.628498974,0.004852415,0.863624121,0.131523464,0.0025,P20240826-1400,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240826-1400_processed.npz,,
0.232703948,45.11631864,6.20585731,0.008838084,0.782707765,0.20845415,0.0025,P20240826-1414,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240826-1414_processed.npz,,
0.207682018,45.64116684,6.18069534,0.00165842,0.802709561,0.195632019,0.0025,P20240826-1446,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240826-1446_processed.npz,,
0.218941886,45.56537539,6.187074243,0.003453336,0.804527906,0.192018758,0.0025,P20240826-1424,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240826-1424_processed.npz,,
0.11760307,62.64153085,3.454829781,0.001965535,0.809073769,0.188960696,0.0025,P20240827-1620,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240827-1620_processed.npz,,
0.118854167,62.72906856,3.620972632,0.002484218,0.819983839,0.177531943,0.0025,P20240827-1610,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240827-1610_processed.npz,,
0.19266886,45.74578003,6.157853015,0.00577376,0.75906928,0.23515696,0.0025,P20240827-1000,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240827-1000_processed.npz,,
0.235206141,62.45389323,3.338860725,0.004927488,0.83816729,0.156905222,0.0025,P20240827-1014,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240827-1014_processed.npz,,
0.245214913,62.47092526,3.241635534,0.009500087,0.867260811,0.123239102,0.0025,P20240827-1027,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240827-1027_processed.npz,,
0.232703948,62.82875467,3.229114375,0.006927147,0.85998743,0.133085423,0.0025,P20240827-1037,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240827-1037_processed.npz,,
0.369073465,62.46191488,2.818428477,0.01199113,0.877261708,0.110747161,0.0025,P20240827-1050,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240827-1050_processed.npz,,
0.341549342,62.45966897,2.981460519,0.017293981,0.871806673,0.110899346,0.0025,P20240827-1101,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240827-1101_processed.npz,,
0.384086623,63.44981357,2.824685868,0.014802938,0.867260811,0.117936252,0.0025,P20240827-1114,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240827-1114_processed.npz,,
0.0,0.989529664,4.483974578,0.0,0.176379471,0.823620529,-,P20240827-1552,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240827-1552_processed.npz,,
0.0,1.038577229,4.474799476,0.0,0.193653749,0.806346251,-,P20240827-1541,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240827-1541_processed.npz,,
0.0,0.882820843,4.524424879,0.0,0.15455933,0.84544067,-,P20240827-1529,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240827-1529_processed.npz,,
0.359064693,62.91513722,3.000281449,0.022849348,0.85998743,0.117163222,0.0025,P20240827-1125,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240827-1125_processed.npz,,
0.325285088,59.61318289,4.188778499,0.008414948,0.76997935,0.221605702,0.0025,P20240828-1040,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240828-1040_processed.npz,,
0.120105263,62.01801995,3.17274912,0.003726327,0.816347149,0.179926524,0.0025,P20240828-1013,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240828-1013_processed.npz,,
0.115100877,62.23464787,3.150801144,0.001849514,0.814528804,0.183621682,0.0025,P20240828-1024,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240828-1024_processed.npz,,
0.386588816,57.95288417,4.270283117,0.012994372,0.771797695,0.215207933,0.0025,P20240828-1051,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240828-1051_processed.npz,,
0.377831141,56.23741723,4.612155671,0.011472447,0.759978452,0.2285491,0.0025,P20240828-1104,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240828-1104_processed.npz,,
0.365320176,56.80223472,4.536915723,0.007780244,0.755432589,0.236787167,0.0025,P20240828-1115,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240828-1115_processed.npz,,
0.589266448,57.63732011,3.960052061,0.015840304,0.808164596,0.1759951,0.0025,P20240828-1329,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240828-1329_processed.npz,,
0.499187501,47.29788398,5.486936281,0.016358987,0.681789615,0.301851399,0.0025,P20240828-1348,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240828-1348_processed.npz,,
0.451645834,46.38630916,5.766056189,0.013779221,0.677243752,0.308977027,0.0025,P20240828-1401,/home/smatsubara/documents/airlift/data/experiments/processed/solid_liquid/P20240828-1401_processed.npz,,
